raw_wcvp,group,n_species_peru,rule
semisucculent subshrub or shrub,succulent,2,rule 5 succulent
succulent epiphyte or lithophyte,epiphyte,2,rule 2 epiphyte/lithophyte
annual or lithophyte,epiphyte,1,rule 2 epiphyte/lithophyte
caudex geophyte,geophyte,1,rule 6 geophyte
climbing annual or biennial,climber,1,rule 3 climbing habit
climbing caudex geophyte,climber,1,rule 3 climbing habit
climbing holoparasite,parasite,1,rule 1 parasite
climbing perennial or herbaceous tree,climber,1,rule 3 climbing habit
epiphytic caudex subshrub,epiphyte,1,rule 2 epiphyte/lithophyte
epiphytic rhizomatous geophyte,epiphyte,1,rule 2 epiphyte/lithophyte
epiphytic scrambling subshrub,epiphyte,1,rule 2 epiphyte/lithophyte
epiphytic shrub or tree,epiphyte,1,rule 2 epiphyte/lithophyte
epiphytic subshrub or shrub,epiphyte,1,rule 2 epiphyte/lithophyte
helophyte or rhizomatous hydrogeophyte,aquatic,1,rule 4 aquatic
hemiepiphytic perennial,epiphyte,1,rule 2 epiphyte/lithophyte
hemiepiphytic subshrub or shrub,epiphyte,1,rule 2 epiphyte/lithophyte
hemiparasitic climber,parasite,1,rule 1 parasite
hemiparasitic perennial,parasite,1,rule 1 parasite
hemiparasitic subshrub,parasite,1,rule 1 parasite
herbaceous tree,tree,1,rule 7 first term tree
holoparasitic geophyte,parasite,1,rule 1 parasite
holoparasitic tuberous geophyte,parasite,1,rule 1 parasite
hydrosubshrub or perennial,aquatic,1,rule 4 aquatic
liana or shrub,climber,1,rule 3 climbing habit
lithophyte or perennial,epiphyte,1,rule 2 epiphyte/lithophyte
monocarpic perennial,herb,1,rule 7 first term perennial
monocarpic tree,tree,1,rule 7 first term tree
"perennial, subshrub or shrub",herb,1,rule 7 first term perennial
pseudobulbous epiphyte or geophyte,epiphyte,1,rule 2 epiphyte/lithophyte
rhizomatous subshrub,shrub,1,rule 7 first term subshrub
scrambling herbaceous tree,climber,1,rule 3 climbing habit
scrambling perennial or epiphyte,epiphyte,1,rule 2 epiphyte/lithophyte
semiaquatic annual,aquatic,1,rule 4 aquatic
semiaquatic subshrub,aquatic,1,rule 4 aquatic
semisucculent subshrub,succulent,1,rule 5 succulent
subshrub or lithophyte,epiphyte,1,rule 2 epiphyte/lithophyte
